plants,LED,,,Parameters,,,,,,,,,,,,,,,,,,,,
,R,G,B,stem diameter (mm),No. leaf,FW (g),DW (g),root FW (g),root DW (g),stem length (cm),leaf area (cm^2),root length (cm),root diameter (mm),leaf width,leaf length,,,,,,,,,
petunia,40,40,20,,,0.9,0.06,,,-,20,,,,,,,,,,,,,
Sida tomato,63,,37,10.23,,,,,,106.5,,,,,,,,,,,,,,
Lettuce ,,,100,,,3.4,0.62,3.93,0.17,,,,,,,,,,,,,,,
Lettuce ,80,,20,,,32.7,1.78,7.99,0.32,,,,,,,,,,,,,,,
Lettuce ,88.8889,,11.1111,,,73.78,3.44,7.65,0.54,,,,,,,,,,,,,,,
Lettuce ,92.3077,,7.6923,,,64.14,2.78,8.95,0.36,,,,,,,,,,,,,,,
Lettuce ,100,,,,,66.08,3.43,7.65,0.35,,,,,,,,,,,,,,,
Lettuce ,,,100,,,13.62,1.03,2.43,0.18,,,,,,,,,,,,,,,
Lettuce ,80,,20,,,82.78,4.06,8.48,0.45,,,,,,,,,,,,,,,
Lettuce ,88.8889,,11.1111,,,118.04,6.06,10.76,0.56,,,,,,,,,,,,,,,
Lettuce ,92.3077,,7.6923,,,103.86,5.37,7.5,0.4,,,,,,,,,,,,,,,
Lettuce ,100,,,,,66.33,4.06,10.04,0.46,,,,,,,,,,,,,,,
Lettuce,83,,17,,30.33,70.85,10.45,,,19.52,,,,,,,,,,,,,,
Lettuce,91,,9,,26.67,78.45,12.28,,,19.33,,,,,,,,,,,,,,
Lettuce,95,,5,,25.5,72.52,9.15,,,18.17,,,,,,,,,,,,,,
Lettuce,100,,,,24.67,64.82,6.95,,,24.33,,,,,,,,,,,,,,
Spinach,83,,17,,66.67,63.73,9.88,,,31.35,,,,,,,,,,,,,,
Spinach,91,,9,,72.5,68.73,12.13,,,35.6,,,,,,,,,,,,,,
Spinach,95,,5,,69.17,65.25,11.35,,,29.83,,,,,,,,,,,,,,
Spinach,100,,,,36.33,47.7,8.45,,,35.17,,,,,,,,,,,,,,
Kale,83,,17,,27.83,109.78,26.21,,,46.05,,,,,,,,,,,,,,
Kale,91,,9,,28.83,185.6,28.11,,,46.43,,,,,,,,,,,,,,
Kale,95,,5,,28.17,189.95,29.71,,,47.38,,,,,,,,,,,,,,
Kale,100,,,,29.17,85.45,19.76,,,51.63,,,,,,,,,,,,,,
Basil,83,,17,,101.83,41.2,10.13,,,45.68,,,,,,,,,,,,,,
Basil,91,,9,,107.5,44.23,13.45,,,47.33,,,,,,,,,,,,,,
